Sample	contamination_score	contamination_p_value	Contamination	median_insert_size	median_exon_coverage_count	pct_exon_50x_perc	median_insert_size_guidelines	median_exon_coverage_guidelines	pct_exon_50x_guidelines	unstable_msi_sites	unstable_msi_sites_guidelines	coverage_mad_count	median_bin_count_cnv_target_count	coverage_mad_guidelines	median_bin_count_cnv_target_guidelines	rna_median_cv__gene_500x_perc	rna_total_on_target_reads_count	rna_median_insert_size_count	rna_median_cv__gene_500x_guidelines	rna_total_on_target_reads_guidelines	rna_median_insert_size_guidelines	total_pf_reads	mean_family_size	median_target_coverage	pct_chimeric_reads	pct_exon_100x	pct_read_enrichment	pct_usable_umi_reads	mean_target_coverage	pct_aligned_reads	pct_contamination_est	pct_pf_uq_reads	pct_target_04x_mean	pct_target_100x	pct_target_250x	rna_pct_chimeric_reads	rna_pct_on_target_reads	rna_scaled_median_gene_coverage	rna_total_pf_reads	PCT_PF_READS_perc	PCT_PF_READS_guidelines	PCT_Q30_R1_perc	PCT_Q30_R1_guidelines	PCT_Q30_R2_perc	PCT_Q30_R2_guidelines	run
57_AP_DNA	2025	0.021	1	134	837	99.3	1	1	1	124	1	0.101	10.2	1	1	NA	NA	NA	NA	NA	NA	110444554	1.8	830.0	0.72	99.0	56.8	99.8	811.2	94.0	4.9	100.0	96.0	98.9	97.2	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
58_AP_DNA	810	0.996	1	122	265	97.6	1	1	1	117	1	0.159	4.0	1	1	NA	NA	NA	NA	NA	NA	119162236	4.4	273.0	4.82	91.3	51.7	99.9	300.2	96.1	4.4	100.0	87.1	91.7	54.9	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
60_AP_DNA	2622	1.0	1	131	436	99.3	1	1	1	124	1	0.198	5.7	1	1	NA	NA	NA	NA	NA	NA	106709214	3.4	442.0	1.33	98.6	63.8	99.9	459.5	95.3	1.3	100.0	93.6	98.1	85.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
61_AP_DNA	2850	0.036	1	115	520	99.5	1	1	1	124	1	0.178	7.1	1	1	NA	NA	NA	NA	NA	NA	136939426	2.1	515.0	0.98	99.2	46.6	99.9	556.7	83.8	4.7	100.0	96.8	98.8	95.8	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
62_AP_DNA	366	1.0	1	128	777	99.4	1	1	1	125	1	0.101	9.8	1	1	NA	NA	NA	NA	NA	NA	152546842	2.5	765.0	0.53	99.1	58.4	99.9	763.4	89.8	1.0	100.0	96.6	98.8	97.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
65_AP_DNA	4851	0.0	1	87	535	99.3	1	1	1	122	1	0.224	7.9	0	1	NA	NA	NA	NA	NA	NA	151666894	2.0	533.0	7.21	98.8	40.9	99.9	587.6	94.7	3.1	100.0	93.3	98.3	92.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
67_AP_DNA	12	1.0	1	122	1051	99.4	1	1	1	123	1	0.126	13.2	1	1	NA	NA	NA	NA	NA	NA	153114714	2.1	1046.0	1.00	98.9	62.9	99.9	1040.3	97.6	0.2	100.0	93.6	98.8	97.0	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
70_AP_DNA	999	1.0	1	134	676	98.6	1	1	1	124	1	0.144	8.9	1	1	NA	NA	NA	NA	NA	NA	120702674	2.4	693.0	0.28	97.6	60.2	99.9	707.5	95.4	0.7	100.0	86.8	97.2	89.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
73_AP_DNA	72	1.0	1	116	480	99.3	1	1	1	124	1	0.107	6.7	1	1	NA	NA	NA	NA	NA	NA	139808712	4.3	476.0	1.34	98.8	68.2	99.9	475.8	97.8	0.5	100.0	96.9	98.7	94.4	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
74_AP_DNA	1809	0.103	1	120	709	99.1	1	1	1	122	1	0.142	9.8	1	1	NA	NA	NA	NA	NA	NA	125700802	2.6	713.0	0.22	98.5	67.7	99.9	710.4	96.2	4.0	100.0	94.4	98.2	95.3	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
75_AP_DNA	646	1.0	1	113	166	97.0	1	1	1	104	1	0.169	2.5	1	1	NA	NA	NA	NA	NA	NA	118842348	8.8	172.0	1.98	81.8	68.1	99.9	185.1	96.0	2.6	100.0	91.4	82.4	23.0	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
76_AP_DNA	755	1.0	1	134	590	99.2	1	1	1	122	1	0.113	7.5	1	1	NA	NA	NA	NA	NA	NA	110561596	3.2	577.0	0.51	98.8	70.5	99.9	575.6	96.1	2.0	100.0	96.5	98.4	96.2	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
96_BM	2493	0.398	1	117	718	98.6	1	1	1	122	1	0.181	9.8	1	1	56.99	22004148	104	1	1	1	105517294	2.4	716.0	0.31	97.6	76.8	99.9	753.4	97.8	3.8	100.0	89.1	97.1	92.0	0.13	93.2	4510.8	23608476	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
97_BM	2573	0.416	1	106	689	98.8	1	1	1	122	1	0.173	9.9	1	1	72.41	15215763	95	1	1	1	133836782	2.9	675.0	0.38	97.9	74.9	99.9	705.4	95.7	3.3	100.0	92.9	97.5	94.0	0.12	94.0	2699.3	16187530	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
98_BM	189	1.0	1	118	1363	98.9	1	1	1	124	1	0.111	16.7	1	1	59.85	24286592	111	1	1	1	132662304	1.6	1317.0	2.63	98.4	71.6	99.8	1382.9	99.3	0.3	100.0	93.1	98.1	96.5	0.14	91.6	5035.5	26520898	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
99_BM	3850	0.001	1	120	543	98.2	1	1	1	121	1	0.259	7.9	0	1	63.9	12926713	99	1	1	1	121282616	3.5	547.0	0.36	96.7	77.2	99.9	583.5	97.8	2.4	100.0	87.5	96.4	85.9	0.13	90.9	2433.5	14213314	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C11_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.25	27746590	91	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	92.5	5718.1	29999752	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C2_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.03	18782977	102	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	83.2	3994.0	22582136	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C3_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.68	27180036	92	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	90.6	5516.9	29996400	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C4_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.6	27918860	100	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	93.0	5824.2	30005546	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C5_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.5	20667068	89	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	85.7	4199.0	24113772	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C6_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53.5	27201984	90	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	90.7	5601.8	29994490	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C7_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52.47	27895546	97	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	93.0	5789.0	29995702	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
C8_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.25	24954998	90	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15	88.2	5247.1	28285260	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
CTRL_DIL_DNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
CTRL_DNA	30413	0.351	0	132	727	98.9	1	1	1	124	1	0.12	8.5	1	1	NA	NA	NA	NA	NA	NA	79825622	1.7	706.0	0.09	98.3	67.3	99.8	722.5	92.4	18.8	100.0	94.1	97.7	95.1	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
CTRL_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.92	21569985	148	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51	88.0	3839.9	24519604	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_10_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.81	23320034	86	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	87.4	4407.8	26693852	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_11_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.32	25036199	96	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	89.5	5186.7	27959808	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_14_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.05	27565340	112	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17	91.9	6176.5	30001820	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_3_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.32	27861282	105	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	93.1	6141.3	29940308	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_5_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.41	27687547	104	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	92.3	5897.1	30000862	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_6_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.52	24577938	102	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	86.6	5219.7	28388264	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_7_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.95	27783066	116	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18	92.6	6241.3	30003140	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
LUNG_NEW_8_RNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.43	28099094	105	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	93.7	5980.6	29998788	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
NR_DNA	120	1.0	1	138	899	99.4	1	1	1	121	1	0.096	11.0	1	1	NA	NA	NA	NA	NA	NA	119190906	2.1	873.0	0.31	99.0	61.0	99.9	858.1	97.0	0.3	100.0	95.0	99.0	97.0	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
RA_DNA	193	1.0	1	120	656	99.2	1	1	1	123	1	0.118	8.2	1	1	NA	NA	NA	NA	NA	NA	113813064	1.7	628.0	0.42	98.7	48.8	99.8	663.4	86.3	0.5	100.0	95.1	98.3	95.6	NA	NA	NA	NA	86.7	1	93.9	1	93.8	1	211122_A01423_0012_AH2YWCDRXY
